187516	745_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8105728347115738	0	0	0	0	0	0	0	0	0	0	0	0	0
187449	342_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8040492387431163	0	0	0	0	0	0	0	0	0	0	0	0	0
187430	313_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7992567339291747	0	0	0	0	0	0	0	0	0	0	0	0	0
187497	545_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7967338217338217	0	0	0	0	0	0	0	0	0	0	0	0	0
187453	415_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7927559994037859	0	0	0	0	0	0	0	0	0	0	0	0	0
187471	442_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7860452887238308	0	0	0	0	0	0	0	0	0	0	0	0	0
187440	335_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7768078383232171	0	0	0	0	0	0	0	0	0	0	0	0	0
187435	333_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.775064627651291	0	0	0	0	0	0	0	0	0	0	0	0	0
187485	513_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7723643568972551	0	0	0	0	0	0	0	0	0	0	0	0	0
187444	341_T0	0.006866236724740912	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7722591202233131	0	0	0	0	0	0	0	0	0	0	0	0	0
187474	444_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5815408828599266	0	0	0	0	0	0	0.22993329835868997	0	0	0	0	0	0
187461	425_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5727343056072892	0	0	0	0	0	0	0	0.23807340763874962	0	0	0	0	0
187454	421_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5111074434725202	0	0	0	0	0	0	0	0.34121142102657204	0	0	0	0	0
187467	441_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4149224741301363	0	0	0	0	0	0	0	0.4393690767221459	0	0	0	0	0
187416	242_T0	0.618854647692646	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.28052649765966137	0	0	0	0	0	0	0	0	0	0	0
187399	222_T0	0.5259716672720668	0	0	0	0	0	0	0	0	0	0	0	0.36000121080033903	0.02642571739920087	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187386	1035_T27	0	0.5587968781970711	0	0	0	0	0	0	0	0	0	0	0	0	0.30706497910028935	0	0	0	0	0	0	0	0	0	0.011429072520534331	0	0	0	0	0
187383	1026_T12	0	0.4715406687357264	0	0	0	0	0	0	0	0	0	0	0.16047900685132047	0.013146337178661356	0	0	0	0	0	0	0.2616091819406219	0	0	0	0	0	0	0	0	0
187493	533_T12	0	0	0	0.46668773704171934	0	0	0	0	0	0	0	0	0.2912768647281922	0.023735777496839444	0	0	0	0	0	0	0	0	0	0.1254740834386852	0	0	0	0	0	0
187496	545_T12	0	0	0	0.37015945330296124	0	0	0	0	0	0	0	0	0.23826879271070617	0.019874715261958997	0	0	0	0	0	0	0	0.27343394077448746	0	0	0	0	0	0	0	0
187469	442_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.2972888262027895	0	0	0	0	0	0	0	0.6081491929164707	0	0	0	0	0
187490	531_T12	0	0	0	0	0.5458120214055524	0	0	0	0	0	0	0	0	0	0.03080743872512787	0	0	0	0	0	0	0	0	0	0	0	0	0	0.3565325370310144	0
187377	1014_T27	0	0	0	0	0	0.005581710032982832	0	0	0	0	0	0	0	0	0	0	0	0.8837425647675697	0	0	0	0	0	0	0	0	0	0	0	0
187504	714_T27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.8814702866087333	0	0	0	0	0	0	0	0	0	0	0	0
187515	745_T12	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.7858398049997166	0	0	0	0	0.14647695708860042	0	0	0	0	0	0	0
187522	754_T0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.5580605820890603	0	0	0	0.37713833679422526	0	0	0	0	0	0	0	0
187481	512_T12	0	0	0	0	0	0	0	0.7921345207146412	0	0	0	0	0	0	0.008711765031251728	0	0	0	0	0	0	0	0	0	0	0	0	0	0.15053376846064495	0
187482	512_T27	0	0	0	0	0	0	0	0.5842847157502329	0	0	0	0	0	0	0	0	0.25987301957129544	0	0	0	0	0	0	0.04027842497670084	0	0	0	0	0	0
187402	224_T0	0	0	0	0	0	0	0	0	0.7166729855055557	0	0	0	0	0	0	0	0	0	0.19735192044095773	0	0	0	0	0	0	0	0	0	0	0
187419	243_T0	0	0	0	0	0	0	0	0	0.6843566247798705	0	0	0	0.21678655642778258	0.013521177208011222	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187411	234_T0	0	0	0	0	0	0	0	0	0.6688458708326257	0	0	0	0.24022188260598856	0.016273277862681835	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187538	836_T12	0	0	0	0	0	0	0	0	0	0	0	0	0.3108540162826725	0.021787138666402982	0	0	0	0	0	0	0	0	0	0	0	0	0.5449421536636013	0	0	0
187567	NEG1_1	0	0	0	0	0	0	0	0	0	0.966010733452594	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187408	226_T0	0	0	0	0	0	0	0	0	0	0	0.5992197198084767	0	0	0	0.3179641780457528	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187499	546_T12	0	0	0	0	0.434025362512708	0	0	0	0	0	0	0	0.05546043126973085	0.0038525335759002624	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.4474824763229708
187422	256_T0	0	0	0	0	0	0	0	0	0	0	0	0.7744933445257225	0	0	0.15823240196666266	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
187568	NEG1_2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Sequence accession / SymPortal UID		883-1756291-57993	1847-883-2061-73321	883-1474-1480	883-1847-1756291	883-59904-1847-1474	1847/883-2061	883-1847-1474	883-59904-1847	883-930	34406-22385-33816	883-930-7327	883-30814	26-30-167-72-29-28-60-31		26-30-167-37-32-28	26-30-167-37-32-72	26-30-167-37-60-29-31	26-30-37-32-28	26-30-167-28-32-29-31	26-30-914781-46465	853-10613-854-73594	853-854-10613-855-10403	853-21094-10613-21095-21096-944	853-21094-21095-21096-854-944	853-10613-21094-21095	853-21094-944-21095-21096	853-10613-21094-73594-21095	853-21094-854-10613-944-10403-855	853-854-2102-2131-2795-908	853-854-10613-855
Average defining sequence proportions and [stdev]		0.913[0.041]-0.053[0.024]-0.034[0.018]	0.782[0.034]-0.123[0.023]-0.076[0.010]-0.019[0.006]	0.945[0.020]-0.035[0.012]-0.020[0.009]	0.919[0.015]-0.047[0.008]-0.034[0.015]	0.867[0.017]-0.057[0.005]-0.045[0.003]-0.031[0.016]	0.740[0.195]/0.204[0.202]-0.056[0.037]	0.900[0.047]-0.068[0.044]-0.032[0.012]	0.885[0.017]-0.075[0.020]-0.041[0.005]	0.978[0.002]-0.022[0.002]	0.470[nan]-0.276[nan]-0.254[nan]	0.958[nan]-0.022[nan]-0.020[nan]	0.978[nan]-0.022[nan]	0.645[0.019]-0.156[0.020]-0.054[0.005]-0.032[0.007]-0.031[0.005]-0.030[0.007]-0.030[0.005]-0.022[0.005]	0.550[0.052]/0.450[0.052]	0.686[0.032]-0.154[0.021]-0.060[0.008]-0.046[0.008]-0.030[0.007]-0.024[0.007]	0.651[0.016]-0.173[0.008]-0.057[0.006]-0.053[0.004]-0.036[0.006]-0.030[0.006]	0.650[0.007]-0.174[0.006]-0.055[0.006]-0.054[0.003]-0.029[0.003]-0.023[0.002]-0.016[0.001]	0.826[0.024]-0.111[0.022]-0.031[0.006]-0.021[0.005]-0.012[0.003]	0.682[0.007]-0.135[0.001]-0.059[0.003]-0.039[0.000]-0.038[0.002]-0.026[0.007]-0.020[0.003]	0.729[0.023]-0.125[0.033]-0.091[0.003]-0.054[0.013]	0.828[0.016]-0.107[0.007]-0.041[0.008]-0.024[0.011]	0.897[0.006]-0.050[0.010]-0.034[0.011]-0.012[0.002]-0.007[0.001]	0.720[0.073]-0.083[0.029]-0.081[0.028]-0.040[0.014]-0.039[0.017]-0.036[0.010]	0.745[0.078]-0.085[0.035]-0.045[0.015]-0.042[0.018]-0.042[0.014]-0.041[0.014]	0.771[0.044]-0.139[0.024]-0.062[0.029]-0.028[0.010]	0.809[0.036]-0.084[0.015]-0.037[0.014]-0.037[0.009]-0.033[0.004]	0.839[0.000]-0.096[0.016]-0.028[0.005]-0.023[0.007]-0.015[0.004]	0.832[0.009]-0.059[0.004]-0.034[0.008]-0.030[0.004]-0.023[0.001]-0.011[0.006]-0.010[0.001]	0.861[0.034]-0.064[0.005]-0.032[0.014]-0.021[0.011]-0.012[0.007]-0.011[0.007]	0.878[nan]-0.076[nan]-0.030[nan]-0.015[nan]
